 * Running on http://0.0.0.0:8000/ (Press CTRL+C to quit)
130.126.255.189 - - [26/Feb/2017 15:58:02] "GET / HTTP/1.1" 200 -
130.126.255.189 - - [26/Feb/2017 15:58:02] "GET /favicon.ico HTTP/1.1" 404 -
130.126.255.189 - - [26/Feb/2017 15:58:06] "GET / HTTP/1.1" 200 -
130.126.255.189 - - [26/Feb/2017 15:58:06] "GET / HTTP/1.1" 200 -
130.126.255.189 - - [26/Feb/2017 15:58:06] "GET / HTTP/1.1" 200 -
130.126.255.189 - - [26/Feb/2017 15:58:07] "GET / HTTP/1.1" 200 -
130.126.255.189 - - [26/Feb/2017 15:58:07] "GET / HTTP/1.1" 200 -
130.126.255.189 - - [26/Feb/2017 15:58:07] "GET / HTTP/1.1" 200 -
130.126.255.189 - - [26/Feb/2017 15:58:13] "GET / HTTP/1.1" 200 -
130.126.255.189 - - [26/Feb/2017 15:58:13] "GET / HTTP/1.1" 200 -
